soil_moisture_%,soil_pH,temperature_C,humidity_%,rainfall_mm,sunlight_hours,NDVI_index,water_stress_index,disease_pressure_score,ph_deviation,yield_per_day,days_since_sowing,pesticide_usage_ml,crop_type_enc,region_enc,irrigation_type_Drip,irrigation_type_Manual,irrigation_type_Sprinkler,fertilizer_type_Inorganic,fertilizer_type_Mixed,fertilizer_type_Organic,label,farm_id
18.8,5.74,18.85,66.79,79.89,8.57,0.8,15.3062,64.82,0.76,32.05,134,14.74,1,0,False,False,True,False,False,True,Moderate,FARM0036
16.28,5.53,25.68,88.71,118.58,7.32,0.41,21.499296,90.32,0.97,14.13,72,44.08,1,3,False,False,True,False,True,False,Severe,FARM0037
13.99,5.63,24.83,74.32,194.26,4.91,0.85,21.356282999999998,106.63,0.87,26.56,57,49.73,0,0,False,True,False,False,False,True,Moderate,FARM0038
20.69,6.74,27.19,87.38,235.02,5.25,0.66,21.564389000000002,125.85,0.24,41.66,20,34.72,0,1,False,False,True,True,False,False,Moderate,FARM0039
20.08,6.07,32.19,51.67,67.79,5.59,0.48,25.726248000000002,65.15,0.43,56.91,18,10.16,2,2,False,False,True,True,False,False,Moderate,FARM0040
26.4,6.11,23.05,67.0,118.06,6.63,0.87,16.9648,79.51,0.39,25.99,86,38.05,4,4,True,False,False,True,False,False,Moderate,FARM0041
36.71,5.85,25.38,53.91,160.56,9.98,0.5,16.063001999999997,88.77,0.65,32.44,41,41.64,4,1,False,False,True,False,True,False,Severe,FARM0042
38.47,6.6,24.1,56.16,128.63,9.82,0.67,14.82873,79.13,0.1,28.76,105,42.12,0,0,False,False,True,False,True,False,Severe,FARM0043
17.12,6.6,33.55,74.91,159.53,4.73,0.58,27.80624,102.99,0.1,29.06,28,12.13,4,4,False,False,True,False,True,False,Severe,FARM0044
42.64,6.08,29.11,64.12,153.87,6.83,0.77,16.697495999999997,93.64,0.42,40.86,17,11.51,0,3,False,False,True,False,True,False,Severe,FARM0045
19.35,5.51,29.52,69.0,259.37,7.96,0.41,23.80788,127.55,0.99,40.41,48,29.24,3,0,False,False,True,True,False,False,Mild,FARM0046
18.17,7.05,15.87,75.26,236.18,8.87,0.82,12.986420999999998,112.86,0.55,48.42,16,40.66,0,1,False,False,True,False,True,False,Severe,FARM0047
41.87,5.53,17.88,88.5,267.73,4.45,0.49,10.393644,129.13,0.97,56.92,86,33.05,3,2,False,True,False,True,False,False,Severe,FARM0048
31.61,5.97,28.69,51.37,121.84,4.54,0.48,19.621091,78.62,0.53,47.76,3,36.68,4,1,True,False,False,False,True,False,Moderate,FARM0049
18.55,6.32,28.64,48.75,95.01,7.66,0.31,23.327280000000002,69.48,0.18,29.58,81,35.74,2,4,False,False,True,False,True,False,Severe,FARM0050
15.53,6.38,21.91,71.95,196.89,6.55,0.48,18.507376999999998,104.28,0.12,27.31,60,43.04,3,0,False,True,False,True,False,False,Moderate,FARM0051
19.61,6.63,28.72,42.45,236.17,7.64,0.73,23.088008,109.37,0.13,24.18,48,39.91,0,2,False,False,True,True,False,False,Mild,FARM0052
20.81,6.38,26.59,44.51,233.09,5.77,0.79,21.056621,107.67,0.12,32.58,34,14.04,4,2,False,False,True,False,False,True,Severe,FARM0053
38.15,6.44,16.51,51.28,238.54,8.06,0.46,10.211435000000002,104.46,0.06,39.12,58,21.46,1,0,False,False,True,False,True,False,Severe,FARM0054
33.62,6.44,27.39,56.4,285.79,7.66,0.9,18.181482,128.84,0.06,27.73,35,42.07,4,0,True,False,False,False,True,False,Severe,FARM0055
41.05,5.77,24.07,77.16,217.62,9.68,0.47,14.189265,114.2,0.73,18.29,125,38.4,2,2,False,False,True,False,True,False,Moderate,FARM0056
25.56,5.97,22.25,58.37,295.23,9.41,0.68,16.5629,128.6,0.53,35.95,116,22.92,0,3,False,True,False,False,False,True,Severe,FARM0057
18.52,5.75,26.29,78.26,67.15,5.24,0.38,21.421091999999998,71.17,0.75,29.82,70,19.79,1,2,False,False,True,False,False,True,Moderate,FARM0058
33.14,5.55,15.3,51.9,247.5,5.94,0.61,10.22958,106.48,0.95,19.96,8,7.36,4,3,False,False,True,True,False,False,Severe,FARM0059
17.75,6.73,29.54,72.95,277.19,5.81,0.66,24.29665,134.49,0.23,18.28,113,49.94,3,4,True,False,False,False,False,True,Severe,FARM0060
31.85,6.67,29.24,69.87,145.23,5.77,0.55,19.92706,93.45,0.17,35.14,55,40.69,1,3,False,False,True,False,False,True,Severe,FARM0061
35.54,6.13,21.25,87.68,113.72,8.12,0.34,13.697750000000001,85.13,0.37,20.4,94,9.11,0,4,False,False,True,False,False,True,Moderate,FARM0062
22.38,6.83,30.01,76.05,267.02,9.81,0.63,23.293762,133.03,0.33,46.74,28,9.66,0,2,False,True,False,True,False,False,Severe,FARM0063
17.92,6.36,26.22,71.09,241.86,8.05,0.51,21.521376,120.66,0.14,29.91,89,46.81,3,0,True,False,False,False,True,False,Mild,FARM0064
33.01,5.64,29.82,44.59,292.95,7.18,0.83,19.976418000000002,128.09,0.86,44.83,99,25.41,3,3,False,False,True,True,False,False,Mild,FARM0065
11.74,5.66,23.86,70.35,156.0,6.49,0.33,21.058836,92.84,0.84,43.64,75,10.12,3,3,False,False,True,False,True,False,Severe,FARM0066
10.27,6.1,19.22,52.78,84.31,5.97,0.78,17.246106,60.82,0.4,36.23,29,38.62,4,1,True,False,False,True,False,False,Severe,FARM0067
25.27,6.42,16.56,61.46,128.27,6.43,0.52,12.375288000000001,75.48,0.08,52.05,79,10.18,4,4,False,False,True,True,False,False,Severe,FARM0068
25.25,6.3,16.57,77.29,267.63,5.33,0.79,12.386075,123.63,0.2,22.75,99,27.97,2,2,False,False,True,False,False,True,Mild,FARM0069
15.13,5.89,27.05,72.78,240.05,5.06,0.39,22.957335000000004,121.41,0.61,42.83,82,38.95,4,3,False,False,True,True,False,False,Severe,FARM0070
32.1,7.09,26.83,43.71,137.99,6.77,0.58,18.217570000000002,79.0,0.59,41.66,23,21.59,0,4,True,False,False,False,False,True,Severe,FARM0071
32.81,6.14,24.51,43.09,87.72,4.62,0.67,16.468269,61.93,0.36,32.51,56,8.79,3,4,False,True,False,False,True,False,Moderate,FARM0072
23.56,7.05,28.58,71.54,63.09,6.01,0.39,21.846551999999996,68.98,0.55,46.18,84,30.11,1,0,False,True,False,False,False,True,Severe,FARM0073
42.09,6.12,28.12,46.45,215.53,8.25,0.9,16.284292,104.33,0.38,47.32,85,30.15,2,1,True,False,False,True,False,False,Severe,FARM0074
22.66,6.23,18.61,87.38,103.55,6.92,0.32,14.392973999999999,79.97,0.27,17.18,138,11.97,3,4,False,False,True,False,False,True,Moderate,FARM0075
30.9,5.81,18.62,71.24,223.21,9.42,0.57,12.86642,109.42,0.69,55.98,78,23.49,2,1,False,False,True,False,False,True,Mild,FARM0076
41.64,5.89,28.57,62.03,192.6,8.62,0.59,16.673452,104.02,0.61,51.03,17,28.74,0,0,False,False,True,False,True,False,Moderate,FARM0077
34.9,6.53,17.49,48.02,70.97,6.7,0.52,11.385989999999998,53.62,0.03,46.94,3,9.13,4,1,False,False,True,True,False,False,Severe,FARM0078
17.86,6.14,16.98,56.76,228.68,4.88,0.35,13.947372,104.04,0.36,17.87,120,46.28,1,2,True,False,False,True,False,False,Moderate,FARM0079
29.21,6.95,25.56,54.41,77.8,5.81,0.61,18.093923999999998,64.27,0.45,25.99,63,23.89,2,3,True,False,False,False,False,True,Mild,FARM0080
25.02,6.73,19.81,73.22,154.14,4.51,0.68,14.853538,90.39,0.23,42.52,5,47.9,1,3,False,True,False,False,False,True,Moderate,FARM0081
22.5,5.64,19.82,45.18,214.28,7.49,0.41,15.3605,97.22,0.86,32.19,118,7.0,4,0,False,True,False,False,False,True,Mild,FARM0082
11.29,5.9,30.82,55.78,271.45,5.86,0.69,27.340422000000004,126.86,0.6,21.1,91,26.3,0,2,False,False,True,False,True,False,Moderate,FARM0083
25.29,6.3,23.79,56.95,289.12,5.12,0.79,17.773509,127.36,0.2,16.53,108,46.59,1,2,False,False,True,True,False,False,Moderate,FARM0084
12.8,6.82,21.13,61.31,200.66,8.14,0.68,18.42536,100.57,0.32,26.48,101,6.91,4,0,False,True,False,True,False,False,Moderate,FARM0085
43.35,5.79,27.15,41.74,245.33,4.4,0.76,15.380474999999999,110.66,0.71,20.42,115,22.23,2,1,False,True,False,True,False,False,Mild,FARM0086
23.93,6.8,19.99,76.78,78.36,6.99,0.59,15.206392999999998,69.21,0.3,24.22,78,10.3,1,1,False,False,True,False,True,False,Severe,FARM0087
25.82,7.3,23.9,74.1,71.95,9.07,0.86,17.729020000000002,69.15,0.8,25.5,38,20.63,4,3,False,True,False,False,True,False,Mild,FARM0088
17.85,7.47,30.84,64.7,109.18,6.17,0.73,25.335060000000002,81.76,0.97,42.92,16,41.16,3,0,False,True,False,True,False,False,Severe,FARM0089
12.58,7.44,27.85,74.01,162.49,6.07,0.73,24.346470000000004,99.24,0.94,41.98,38,24.47,3,4,False,False,True,False,False,True,Moderate,FARM0090
39.61,6.0,27.7,46.26,187.71,5.82,0.81,16.72803,95.59,0.5,27.12,79,33.84,1,1,True,False,False,False,True,False,Severe,FARM0091
11.59,6.78,26.54,78.35,212.78,6.5,0.54,23.464014,115.08,0.28,44.48,123,45.0,4,2,True,False,False,True,False,False,Severe,FARM0092
15.53,6.33,24.29,47.18,135.05,9.17,0.58,20.517763,77.6,0.17,51.46,65,49.46,4,2,False,True,False,False,True,False,Moderate,FARM0093
14.93,5.6,33.91,60.91,266.04,9.78,0.83,28.847236999999996,129.61,0.9,49.53,63,47.02,2,4,False,False,True,True,False,False,Severe,FARM0094
43.08,6.51,34.33,57.64,103.79,4.3,0.83,19.540636,79.94,0.01,26.19,1,44.71,4,2,False,False,True,False,True,False,Moderate,FARM0095
11.58,5.6,26.24,54.43,140.63,6.32,0.5,23.201408,83.64,0.9,19.19,24,17.59,1,4,False,False,True,False,True,False,Moderate,FARM0096
31.09,6.3,15.81,75.68,59.73,8.82,0.74,10.894671,60.05,0.2,52.05,40,32.28,2,3,False,False,True,False,False,True,Moderate,FARM0097
27.76,6.52,24.8,63.74,190.73,4.1,0.66,17.91552,101.32,0.02,47.59,92,9.93,1,1,False,True,False,False,True,False,Moderate,FARM0098
17.96,5.6,24.61,76.06,181.06,8.65,0.55,20.190043999999997,103.2,0.9,45.97,14,41.97,3,1,False,False,True,False,False,True,Severe,FARM0099
27.56,6.72,24.43,76.37,262.09,8.23,0.51,17.697092,127.5,0.22,28.51,122,19.63,0,3,False,False,True,False,True,False,Moderate,FARM0100
26.95,7.41,20.58,87.07,124.62,9.89,0.46,15.03369,87.65,0.91,35.63,71,14.33,3,0,False,True,False,False,True,False,Severe,FARM0101
23.29,7.46,31.37,80.23,288.65,5.74,0.86,24.063927000000003,142.21,0.96,47.07,27,8.56,3,1,False,True,False,False,True,False,Moderate,FARM0102
31.55,6.67,19.85,66.55,217.46,7.83,0.86,13.587325,106.75,0.17,49.22,17,23.6,4,3,True,False,False,False,False,True,Severe,FARM0103
32.77,7.01,20.74,42.96,121.35,8.61,0.8,13.943501999999997,69.14,0.51,47.66,22,38.24,0,4,False,False,True,False,True,False,Severe,FARM0104
40.69,5.52,26.36,89.15,76.83,5.71,0.45,15.634116,78.48,0.98,51.33,42,43.3,1,3,False,False,True,False,False,True,Mild,FARM0105
37.68,6.64,30.15,82.81,93.87,9.38,0.3,18.789479999999998,83.9,0.14,28.53,17,19.76,1,2,False,False,True,False,True,False,Severe,FARM0106
36.38,7.41,21.04,40.57,230.72,7.92,0.76,13.385647999999998,101.22,0.91,36.22,64,35.05,0,3,False,False,True,False,False,True,Severe,FARM0107
31.51,5.94,17.67,77.39,88.3,7.63,0.75,12.102183,70.7,0.56,42.0,105,29.72,1,0,False,False,True,False,True,False,Severe,FARM0108
28.49,6.22,33.34,81.44,78.05,9.42,0.59,23.841434000000003,81.0,0.28,28.34,29,29.15,0,1,False,False,True,False,True,False,Severe,FARM0109
14.62,6.33,26.28,73.64,189.7,5.85,0.62,22.437864,106.08,0.17,41.88,5,16.45,0,2,True,False,False,True,False,False,Severe,FARM0110
11.11,6.32,30.38,88.92,241.46,7.88,0.7,27.004782,130.79,0.18,39.09,96,49.68,0,2,False,False,True,True,False,False,Mild,FARM0111
16.25,6.57,25.58,51.13,231.96,4.02,0.39,21.42325,109.22,0.07,35.28,105,25.84,4,0,True,False,False,True,False,False,Mild,FARM0112
38.33,6.34,30.32,40.78,270.94,5.24,0.44,18.698344,120.33,0.16,40.66,62,6.51,4,2,True,False,False,False,True,False,Mild,FARM0113
27.64,6.08,31.32,55.95,232.88,7.59,0.66,22.663152,115.73,0.42,23.45,38,18.58,2,2,False,True,False,False,False,True,Mild,FARM0114
27.35,7.44,33.83,79.29,217.84,5.91,0.72,24.577495,122.44,0.94,30.08,61,11.71,3,4,False,False,True,True,False,False,Severe,FARM0115
24.44,6.33,25.6,52.75,147.1,5.98,0.66,19.343360000000004,84.43,0.17,39.1,13,43.12,3,2,True,False,False,True,False,False,Severe,FARM0116
35.35,6.62,24.59,56.65,267.37,9.74,0.72,15.897435,121.31,0.12,43.78,122,47.17,3,3,True,False,False,False,False,True,Severe,FARM0117
21.26,6.07,24.33,55.42,212.18,6.16,0.64,19.157441999999996,104.07,0.43,38.83,52,9.44,3,3,False,False,True,True,False,False,Mild,FARM0118
19.13,7.37,26.58,47.62,154.39,5.98,0.88,21.495246,85.3,0.87,44.08,86,42.5,4,3,False,False,True,False,True,False,Severe,FARM0119
35.65,6.2,17.8,49.2,186.64,9.34,0.44,11.454299999999998,89.02,0.3,16.62,1,6.52,2,4,True,False,False,False,True,False,Mild,FARM0120
27.7,6.25,27.36,70.83,216.69,6.9,0.6,19.78128,113.86,0.25,22.97,35,5.3,2,2,False,False,True,False,False,True,Severe,FARM0121
42.13,6.55,19.82,52.62,204.95,6.13,0.81,11.469834,97.4,0.05,23.59,89,21.79,4,3,False,False,True,False,False,True,Severe,FARM0122
23.27,6.61,16.12,48.57,52.36,7.0,0.72,12.368876000000002,47.23,0.11,58.12,5,40.3,0,2,False,False,True,False,True,False,Severe,FARM0123
42.35,6.87,20.61,72.91,185.76,5.08,0.64,11.881665,100.35,0.37,38.28,101,48.27,4,0,False,True,False,False,False,True,Severe,FARM0124
23.43,6.98,30.81,43.92,222.33,8.47,0.76,23.591216999999997,107.37,0.48,35.77,78,9.4,1,1,False,True,False,False,False,True,Severe,FARM0125
27.17,6.21,33.82,73.98,157.96,7.96,0.39,24.631106,102.34,0.29,24.77,19,18.29,0,0,True,False,False,False,True,False,Severe,FARM0126
13.73,5.51,21.17,53.49,139.98,4.8,0.66,18.263359,79.27,0.99,20.8,11,25.2,1,0,False,False,True,True,False,False,Moderate,FARM0127
20.21,6.28,16.69,85.26,275.28,9.87,0.55,13.316951,129.21,0.22,28.2,18,22.13,4,4,False,False,True,False,True,False,Severe,FARM0128
18.81,5.99,27.5,49.78,198.45,4.64,0.79,22.32725,100.07,0.51,27.28,84,47.7,1,2,False,True,False,False,False,True,Mild,FARM0129
31.11,6.89,24.58,59.91,94.41,5.91,0.42,16.933162,70.72,0.39,49.21,50,40.19,1,0,False,False,True,False,True,False,Mild,FARM0130
43.36,6.42,29.17,54.57,159.61,8.16,0.34,16.521888,91.59,0.08,28.67,19,27.47,4,1,False,False,True,False,True,False,Severe,FARM0131
28.7,7.35,32.39,41.84,154.58,9.81,0.71,23.094070000000002,87.4,0.85,23.8,78,39.6,0,1,True,False,False,False,False,True,Severe,FARM0132
13.71,5.7,19.44,67.9,236.71,8.13,0.59,16.774776,112.75,0.8,32.74,128,21.84,0,0,False,False,True,True,False,False,Moderate,FARM0133
14.06,7.38,17.83,62.77,127.97,5.24,0.37,15.323101999999999,76.87,0.88,28.43,17,26.43,4,4,False,False,True,True,False,False,Moderate,FARM0134
42.55,6.98,25.32,56.55,187.98,6.56,0.83,14.54634,98.0,0.48,45.17,55,40.9,2,2,False,False,True,False,False,True,Severe,FARM0135
23.61,6.91,19.12,80.44,238.08,4.38,0.68,14.605768000000001,117.94,0.41,20.64,85,13.41,0,1,True,False,False,False,True,False,Severe,FARM0136
30.55,6.2,31.91,80.69,204.34,8.24,0.38,22.161495,117.51,0.3,22.47,39,31.56,0,1,False,True,False,False,True,False,Severe,FARM0137
14.83,6.27,18.72,74.67,208.88,7.87,0.87,15.943824,106.57,0.23,32.26,57,12.51,3,4,False,False,True,False,True,False,Severe,FARM0138
38.53,7.43,25.11,74.23,173.74,6.49,0.47,15.435117,100.65,0.93,36.03,74,12.53,2,3,False,False,True,True,False,False,Severe,FARM0139
29.24,5.73,17.28,81.16,243.78,6.2,0.9,12.227328000000002,118.56,0.77,51.5,83,24.86,0,1,True,False,False,False,True,False,Severe,FARM0140
40.18,5.67,32.31,80.59,79.35,5.26,0.64,19.327842,80.27,0.83,19.82,52,32.46,1,0,False,True,False,False,True,False,Moderate,FARM0141
15.89,7.46,20.85,87.62,193.18,7.09,0.39,17.536935,108.64,0.96,51.1,16,48.32,3,1,True,False,False,False,False,True,Moderate,FARM0142
27.13,6.65,20.37,62.6,153.56,7.8,0.3,14.843619,86.39,0.15,36.97,116,28.2,0,3,True,False,False,True,False,False,Severe,FARM0143
39.75,7.09,22.95,81.24,292.03,6.97,0.33,13.827375,137.32,0.59,42.93,100,20.2,1,4,False,True,False,True,False,False,Severe,FARM0144
14.35,7.22,23.83,87.9,50.17,5.21,0.4,20.410395,68.08,0.72,26.27,21,18.58,4,4,False,False,True,False,True,False,Severe,FARM0145
25.02,5.68,16.9,43.9,103.36,7.56,0.44,12.67162,61.24,0.82,61.37,54,5.36,2,0,False,False,True,False,False,True,Severe,FARM0146
20.97,7.26,17.74,77.66,243.37,4.8,0.39,14.019922,117.38,0.76,20.28,89,28.87,4,2,False,False,True,False,False,True,Severe,FARM0147
40.1,5.67,17.01,69.48,238.11,6.3,0.81,10.18899,111.98,0.83,17.84,72,40.6,0,1,False,False,True,True,False,False,Moderate,FARM0148
31.24,5.88,22.84,79.19,211.54,8.76,0.38,15.704784000000002,112.27,0.62,33.66,3,22.36,3,3,False,False,True,True,False,False,Severe,FARM0149
33.9,7.03,34.09,40.83,242.59,4.41,0.55,22.53349,114.68,0.53,35.01,80,6.79,3,0,False,True,False,False,False,True,Severe,FARM0150
28.82,5.81,16.67,86.05,69.76,9.85,0.87,11.865706000000003,67.85,0.69,38.68,16,19.7,3,2,False,False,True,False,True,False,Mild,FARM0151
13.02,6.37,24.07,55.46,202.21,8.45,0.73,20.936086,100.9,0.13,29.5,44,5.57,2,2,False,False,True,False,False,True,Mild,FARM0152
36.24,7.25,29.66,84.99,79.51,6.01,0.6,18.911216,80.09,0.75,35.79,63,28.57,2,0,False,False,True,True,False,False,Mild,FARM0153
18.93,5.71,26.48,51.42,230.69,7.05,0.63,21.467336,109.64,0.79,49.83,22,16.0,2,0,True,False,False,False,False,True,Severe,FARM0154
18.69,7.33,21.4,68.58,256.5,4.72,0.49,17.40034,120.43,0.83,19.79,59,15.04,1,3,True,False,False,False,False,True,Severe,FARM0155
10.28,5.9,26.28,71.14,125.98,6.78,0.62,23.578416,85.96,0.6,21.29,1,37.96,0,1,False,False,True,False,False,True,Severe,FARM0156
36.56,6.25,29.76,50.26,126.88,9.9,0.72,18.879744000000002,80.49,0.25,22.17,29,48.25,4,0,False,False,True,True,False,False,Moderate,FARM0157
30.33,6.51,27.74,69.59,148.59,4.37,0.44,19.326458,93.22,0.01,41.76,94,18.13,4,4,False,False,True,False,False,True,Mild,FARM0158
13.81,5.71,23.99,46.04,128.51,6.15,0.66,20.676980999999998,74.96,0.79,24.35,87,18.87,3,3,False,False,True,True,False,False,Mild,FARM0159
13.19,6.0,22.11,73.86,178.36,5.56,0.38,19.193690999999998,99.63,0.5,30.66,24,47.84,2,0,False,False,True,False,False,True,Severe,FARM0160
14.58,7.15,22.44,72.23,207.57,7.49,0.79,19.168248000000002,107.99,0.65,31.18,32,5.98,2,2,False,True,False,False,False,True,Severe,FARM0161
11.77,7.35,23.66,64.81,231.11,6.3,0.45,20.875218,113.0,0.85,35.36,19,20.93,0,2,False,False,True,False,False,True,Moderate,FARM0162
40.9,6.46,16.75,60.96,145.75,7.86,0.59,9.89925,80.67,0.04,65.47,91,49.73,0,4,False,False,True,False,True,False,Moderate,FARM0163
16.29,6.14,19.38,78.93,273.94,4.35,0.77,16.222998,128.29,0.36,24.01,84,21.08,1,4,False,False,True,False,True,False,Severe,FARM0164
39.63,7.09,22.1,82.26,259.81,5.06,0.89,13.341770000000002,127.42,0.59,35.57,36,36.39,3,3,False,True,False,False,True,False,Severe,FARM0165
16.14,5.58,16.12,41.0,200.42,6.87,0.72,13.518232000000001,88.62,0.92,20.07,82,14.07,1,1,False,True,False,False,True,False,Mild,FARM0166
40.12,7.42,22.47,59.78,285.48,4.61,0.88,13.455036,126.41,0.92,24.98,124,11.14,3,2,False,True,False,True,False,False,Moderate,FARM0167
38.51,6.26,29.68,48.89,123.63,4.01,0.6,18.250232,78.9,0.24,35.37,56,6.46,3,3,False,False,True,False,True,False,Moderate,FARM0168
22.14,6.14,27.72,81.08,290.77,8.02,0.33,21.582791999999998,140.45,0.36,16.95,65,5.51,2,2,False,True,False,True,False,False,Severe,FARM0169
40.96,6.49,22.57,45.07,186.51,6.88,0.53,13.325327999999999,90.91,0.01,35.99,13,25.31,2,4,False,False,True,False,False,True,Severe,FARM0170
21.83,7.47,32.86,61.57,226.13,7.92,0.46,25.686662000000002,117.11,0.97,35.66,70,7.41,4,1,False,False,True,False,False,True,Moderate,FARM0171
13.36,6.29,25.99,42.73,172.74,4.02,0.89,22.517736,88.41,0.21,23.32,3,42.08,2,0,True,False,False,True,False,False,Severe,FARM0172
37.47,6.44,32.9,72.09,116.25,6.33,0.34,20.57237,88.39,0.06,35.46,33,21.62,1,2,False,True,False,True,False,False,Severe,FARM0173
